date,rate
2011-01-28,1.001100
2011-01-31,1.001500
2011-02-01,0.990900
2011-02-02,0.988200
2011-02-03,0.991000
2011-02-04,0.988400
2011-02-07,0.990200
2011-02-08,0.994600
2011-02-09,0.993900
2011-02-10,0.995800
2011-02-11,0.986800
2011-02-14,0.988500
2011-02-15,0.989700
2011-02-16,0.984900
2011-02-17,0.984900
2011-02-18,0.986000
2011-02-21,0.983800
2011-02-22,0.990900
2011-02-23,0.988600
2011-02-24,0.983200
2011-02-25,0.978700
2011-02-28,0.971400
2011-03-01,0.974900
2011-03-02,0.972400
2011-03-03,0.972200
2011-03-04,0.971700
2011-03-07,0.972900
2011-03-08,0.971400
2011-03-09,0.968700
2011-03-10,0.975600
2011-03-11,0.971100
2011-03-14,0.972600
2011-03-15,0.984000
2011-03-16,0.991800
2011-03-17,0.986300
2011-03-18,0.986100
2011-03-21,0.979700
2011-03-22,0.979900
2011-03-23,0.980700
2011-03-24,0.976200
2011-03-25,0.981700
2011-03-28,0.976600
2011-03-29,0.974700
2011-03-30,0.971300
2011-03-31,0.969600
2011-04-01,0.964400
2011-04-04,0.967500
2011-04-05,0.963900
2011-04-06,0.960400
2011-04-07,0.958500
2011-04-08,0.957400
2011-04-11,0.956500
2011-04-12,0.963100
2011-04-13,0.962400
2011-04-14,0.959800
2011-04-15,0.960100
2011-04-18,0.964200
2011-04-19,0.956500
2011-04-20,0.953300
2011-04-21,0.953700
2011-04-25,0.954600
2011-04-26,0.951800
2011-04-27,0.950400
2011-04-28,0.951000
2011-04-29,0.946400
2011-05-02,0.950800
2011-05-03,0.952600
2011-05-04,0.958500
2011-05-05,0.968200
2011-05-06,0.967000
2011-05-09,0.963600
2011-05-10,0.957700
2011-05-11,0.961100
2011-05-12,0.962300
2011-05-13,0.968700
2011-05-16,0.974200
2011-05-17,0.972600
2011-05-18,0.970600
2011-05-19,0.968200
2011-05-20,0.973000
2011-05-24,0.976100
2011-05-25,0.977900
2011-05-26,0.978700
2011-05-27,0.977300
2011-05-30,0.977100
2011-05-31,0.968600
2011-06-01,0.975700
2011-06-02,0.975600
2011-06-03,0.978300
2011-06-06,0.980800
2011-06-07,0.975500
2011-06-08,0.979700
2011-06-09,0.973100
2011-06-10,0.978300
2011-06-13,0.976800
2011-06-14,0.968900
2011-06-15,0.979000
2011-06-16,0.983200
2011-06-17,0.980200
2011-06-20,0.980200
2011-06-21,0.972400
2011-06-22,0.973100
2011-06-23,0.978000
2011-06-24,0.987000
2011-06-27,0.986700
2011-06-28,0.982700
2011-06-29,0.970600
2011-06-30,0.964500
2011-07-04,0.960800
2011-07-05,0.963200
2011-07-06,0.965600
2011-07-07,0.958700
2011-07-08,0.960700
2011-07-11,0.969000
2011-07-12,0.966200
2011-07-13,0.959700
2011-07-14,0.961000
2011-07-15,0.954300
2011-07-18,0.958900
2011-07-19,0.950800
2011-07-20,0.947400
2011-07-21,0.945400
2011-07-22,0.949100
2011-07-25,0.945800
2011-07-26,0.942800
2011-07-27,0.948900
2011-07-28,0.951600
2011-07-29,0.955500
2011-08-02,0.960200
2011-08-03,0.962600
2011-08-04,0.979500
2011-08-05,0.978100
2011-08-08,0.990900
2011-08-09,0.978900
2011-08-10,0.994800
2011-08-11,0.988300
2011-08-12,0.990700
2011-08-15,0.979900
2011-08-16,0.982100
2011-08-17,0.979700
2011-08-18,0.988400
2011-08-19,0.988600
2011-08-22,0.990100
2011-08-23,0.988000
2011-08-24,0.986600
2011-08-25,0.986800
2011-08-26,0.983000
2011-08-29,0.977100
2011-08-30,0.978200
2011-08-31,0.979400
2011-09-01,0.975500
2011-09-02,0.984200
2011-09-06,0.989800
2011-09-07,0.985500
2011-09-08,0.988000
2011-09-09,0.996000
2011-09-12,0.992100
2011-09-13,0.985400
2011-09-14,0.990800
2011-09-15,0.984000
2011-09-16,0.979000
2011-09-19,0.989700
2011-09-20,0.993600
2011-09-21,1.005900
2011-09-22,1.027400
2011-09-23,1.029400
2011-09-26,1.028300
2011-09-27,1.020400
2011-09-28,1.032600
2011-09-29,1.036600
2011-09-30,1.048200
2011-10-03,1.051100
2011-10-04,1.054900
2011-10-05,1.040200
2011-10-06,1.037800
2011-10-07,1.038300
2011-10-11,1.027900
2011-10-12,1.017300
2011-10-13,1.019700
2011-10-14,1.010500
2011-10-17,1.022100
2011-10-18,1.014400
2011-10-19,1.020200
2011-10-20,1.015000
2011-10-21,1.008700
2011-10-24,1.003100
2011-10-25,1.016300
2011-10-26,1.004800
2011-10-27,0.991300
2011-10-28,0.991900
2011-10-31,0.996700
2011-11-01,1.018800
2011-11-02,1.013600
2011-11-03,1.008100
2011-11-04,1.016700
2011-11-07,1.012700
